#!/usr/bin/env python
""" Provides
1, (font_color))
screen.blit(ip_label, (23,
(23, 15))
#get and
and display
display cpu
cpu temp
cpu_temp =
= subprocess.check_output('/opt/vc/bin/vcgencmd
subprocess.check_output('/opt/vc/bin/vcgencmd measure_temp',
measure_temp', shell=True).strip()
temp =
= font.render('cpu
font.render('cpu '
' +
+ cpu_temp,
cpu_temp, 1,
1, (font_color))
screen.blit(temp, (23,
(23, 35))
#get current
current time
screen.blit(time_label, (90,
(90, 90))
if screensaver
screensaver ==
== True:
minutes =
= 0
#userevent on
on every
every 1000ms,
1000ms, used
used for
for screensaver
pygame.time.set_timer(USEREVENT +1,
+1, 60000)
subprocess.call('mpc play'
play' ,
, shell=True)
running =
= True
while running:
for event
event in
in pygame.event.get():
if event.type
event.type ==
== USEREVENT
USEREVENT +1:
minutes +=
+= 1
if event.type
event.type ==
== pygame.QUIT:
print "Quit
"Quit radio"
if event.type
event.type ==
== pygame.KEYDOWN:
if event.key
event.key ==
== K_ESCAPE:
print "Quit
"Quit radio"
#if screensaver
screensaver is
is enabled
enabled and
and the
the screen
screen was
was touched,
#just disable
disable screensaver,
screensaver, reset
reset timer
timer and
and update
update screen
#no button
button state
state will
will be
be checked
if event.type
event.type ==
== pygame.MOUSEBUTTONDOWN
pygame.MOUSEBUTTONDOWN and
and screensaver
screensaver ==
== True:
minutes =
= 0
subprocess.call('echo 0
0 |
| sudo
sudo tee
tee /sys/class/backlight/*/bl_power'
/sys/class/backlight/*/bl_power' ,
, shell=True)
screensaver =
= False
#if screen
screen was
was touched
touched and
and screensaver
screensaver is
is disabled,
#get position
position of
of touched
touched button,
button, call
call on_touch(),
on_touch(), reset
reset timer
timer and
and update
update screen
if event.type
event.type ==
== pygame.MOUSEBUTTONDOWN
pygame.MOUSEBUTTONDOWN and
and screensaver
screensaver ==
== False:
pos =
= (pygame.mouse.get_pos()
(pygame.mouse.get_pos() [0],
[0], pygame.mouse.get_pos()
pygame.mouse.get_pos() [1])
minutes =
= 0
#enable screensaver
screensaver on
on timer
timer overflow
if minutes
minutes >
> screensaver_timer:
screensaver =
= True
subprocess.call('echo 1
1 |
| sudo
sudo tee
tee /sys/class/backlight/*/bl_power'
/sys/class/backlight/*/bl_power' ,
, shell=True)
Created on
on 2013-7-10
memcached client
@author: lan
lan (www.9miao.com)
import memcache
class MemConnError(Exception):
def __str__(self):
return "memcache
"memcache connect
connect error"
class MemClient:
def __init__(self,timeout
__init__(self,timeout =
= 0):
self._hostname =
= ""
self._urls =
= []
self.connection =
= None
def connect(self,urls,hostname):
'''memcached connect
self._hostname =
= hostname
self._urls =
= urls
self.connection =
= memcache.Client(self._urls,debug=0)
if not
not self.connection.set("__testkey__",1):
raise MemConnError()
def produceKey(self,keyname):
if isinstance(keyname,
isinstance(keyname, basestring):
return ''.join([self._hostname,':',keyname])
raise "type
"type error"
def get(self,key):
key =
= self.produceKey(key)
return self.connection.get(key)
def get_multi(self,keys):
keynamelist =
= [self.produceKey(keyname)
[self.produceKey(keyname) for
for keyname
keyname in
in keys]
olddict =
= self.connection.get_multi(keynamelist)
newdict =
= dict(zip([keyname.split(':')[-1]
dict(zip([keyname.split(':')[-1] for
for keyname
keyname in
in olddict.keys()],
return newdict
def set(self,keyname,value):
key =
= self.produceKey(keyname)
result =
= self.connection.set(key,value)
if not
not result:#如果写入失败
return self.connection.set(key,value)
return result
def set_multi(self,mapping):
newmapping =
= dict(zip([self.produceKey(keyname)
dict(zip([self.produceKey(keyname) for
for keyname
keyname in
in mapping.keys()],
result =
= self.connection.set_multi(newmapping)
if result:#如果写入失败
return self.connection.set_multi(newmapping)
return result
def incr(self,key,delta):
key =
= self.produceKey(key)
return self.connection.incr(key,
self.connection.incr(key, delta)
def delete(self,key):
key =
= self.produceKey(key)
return self.connection.delete(key)
def delete_multi(self,keys):
keys =
= [self.produceKey(key)
[self.produceKey(key) for
for key
key in
in keys]
return self.connection.delete_multi(keys)
def flush_all(self):
mclient =
= MemClient()
Created on
on 2013-7-31
@author: lan
lan (www.9miao.com)
from firefly.dbentrust.dbpool
firefly.dbentrust.dbpool import
import dbpool
from firefly.dbentrust.madminanager
firefly.dbentrust.madminanager import
import MAdminManager
from firefly.dbentrust
firefly.dbentrust import
import mmode
from firefly.dbentrust.memclient
firefly.dbentrust.memclient import
import mclient
import time
if __name__=="__main__":
hostname =
= "localhost"
username =
= 'root'
password =
= '111'
dbname =
= 'test'
charset =
= 'utf8'
tablename =
= "test1"#
aa =
= {'host':"localhost",
mclient.connect(['127.0.0.1:11211'], "test")
mmanager =
= MAdminManager()
m1 =
= mmode.MAdmin(
mmode.MAdmin( 'test1',
'test1', 'id',
'id', incrkey='id')
print m1.get('_incrvalue')
m2 =
= mmode.MAdmin(
mmode.MAdmin( 'test1',
'test1', 'id',
'id', incrkey='id')
print m2.get('_incrvalue')
""" Really
Really basic
basic gatttool
gatttool (BlueZ)
(BlueZ) wrapper
Based on
on https://github.com/stratosinc/pygatt
Part of
of https://github.com/ALPSquid/thebutton-monitor
import pexpect
class connect():
""" Use
Use to
to initiate
initiate a
a connection
connection to
to a
a GATT
GATT device
Example: bt_device
bt_device =
= gatt.connect('AB:CD:EF:01:23:45')
def __init__(self,
__init__(self, address):
self.address =
= ""
"" #
# Connected
Connected bluetooth
bluetooth device
device address.
address. Assigned
Assigned from
from connect()
self.conn =
= None
None #
# pexpect.spawn()
pexpect.spawn() object
object for
for the
the gatttool
gatttool command
def connect(self,
connect(self, address,
address, adapter='hci0'):
""" Open
Open an
an interactive
interactive connection
connection to
to a
a bluetooth
bluetooth device
:param address:
address: Bluetooth
Bluetooth device
device address
:param adapter:
adapter: Bluetooth
Bluetooth adapter
adapter to
to use.
use. Default:
Default: hci0
if self.conn
self.conn is
is None:
self.address =
= address
cmd =
= '
' '.join(['gatttool',
'.join(['gatttool', '-b',
'-b', address,
address, '-i',
'-i', adapter,
adapter, '-I'])
self.conn =
= pexpect.spawn(cmd)
self.conn.expect(r'\[LE\]>', timeout=1)
self.conn.expect(r'Connection successful',
successful', timeout=10)
print("Connected to
to "
" +
+ address)
except pexpect.TIMEOUT:
raise Exception("Unable
Exception("Unable to
to connect
connect to
to device")
raise Exception("Device
Exception("Device already
already connected!
connected! Call
Call disconnect
disconnect before
before attempting
attempting a
a new
new connection")
def reconnect(self):
""" Check
Check and
and attempt
attempt to
to reconnect
reconnect to
to device
device if
if necessary
:return: True
True if
if a
a reconnect
reconnect was
was performed
self.conn.expect(r'Disconnected', timeout=0.1)
self.conn.expect(r'Connection successful',
successful', timeout=10)
print("Reconnected to
to device:
device: "
" +
+ self.address)
except pexpect.TIMEOUT:
print("Lost connection
connection to
to device:
device: "
" +
+ self.address)
return True
except pexpect.TIMEOUT:
return False
def disconnect(self):
""" Disconnect
Disconnect from
from current
current bluetooth
bluetooth device
device """
if self.conn
self.conn is
is not
not None:
self.conn =
= None
print("Disconnected from
from "
" +
+ self.address)
def write(self,
write(self, handle,
handle, value):
""" Write
Write a
a value
value to
to the
the specified
specified handle
:param handle:
handle: address
address to
to write
write to.
to. e.g.
e.g. 0016
:param value:
value: value
value to
to write
self.send(' '.join(['char-write-cmd',
'.join(['char-write-cmd', '0x'+handle,
'0x'+handle, value]))
def read(self,
read(self, handle):
""" Read
Read from
from the
the specified
specified handle
:param handle:
handle: address
address to
to read
read from.
from. e.g.
e.g. 0016
self.send('char-read-hnd 0x'
0x' +
+ handle,
handle, r'descriptor:
r'descriptor: .*
.* \r',
\r', timeout=5)
val =
= '
' '.join(self.conn.after.decode("utf-8").split()[1:])
return val
def send(self,
send(self, cmd,
cmd, expect=None,
expect=None, timeout=5):
""" Send
Send command
command to
to device.
device. Attempt
Attempt a
a reconnect
reconnect if
if disconnected
:param cmd:
cmd: Command
Command to
to send
if expect
expect is
is not
not None:
self.conn.expect(expect, timeout)
except pexpect.TIMEOUT:
if self.reconnect():
if self.reconnect():
from __future__
__future__ import
import unicode_literals
from django.db
django.db import
import models,
models, migrations
import wagtail.wagtailcore.fields
class Migration(migrations.Migration):
dependencies =
= [
('puput', '0001_initial'),
operations =
= [
field=models.CharField(max_length=255, help_text='The
help_text='The blog
blog description
description that
that will
will appear
appear under
under the
the title.',
title.', verbose_name='Description',
verbose_name='Description', blank=True),
field=models.CharField(max_length=500, verbose_name='Description',
verbose_name='Description', blank=True),
field=models.CharField(max_length=80, unique=True,
unique=True, verbose_name='Category
verbose_name='Category name'),
field=models.ForeignKey(to='puput.Category', related_name='children',
related_name='children', null=True,
null=True, verbose_name='Parent
verbose_name='Parent category',
category', blank=True),
field=wagtail.wagtailcore.fields.RichTextField(help_text='Entry excerpt
excerpt to
to be
be displayed
displayed on
on entries
entries list.
list. If
If this
this field
field is
is not
not filled,
filled, a
a truncate
truncate version
version of
of body
body text
text will
will be
be used.',
used.', verbose_name='excerpt',
verbose_name='excerpt', blank=True),
Map two
two radars
radars to
to a
a Cartesian
Cartesian grid
Map the
the reflectivity
reflectivity field
field of
of two
two nearby
nearby ARM
ARM XSARP
XSARP radars
radars from
from antenna
coordinates to
to a
a Cartesian
Cartesian grid.
import matplotlib.pyplot
matplotlib.pyplot as
as plt
import pyart
XSAPR_SW_FILE =
= 'swx_20120520_0641.nc'
XSAPR_SE_FILE =
= 'sex_20120520_0641.nc'
radar_sw =
= pyart.io.read_cfradial(XSAPR_SW_FILE)
radar_se =
= pyart.io.read_cfradial(XSAPR_SE_FILE)
gatefilter_se =
= pyart.filters.GateFilter(radar_se)
gatefilter_se.exclude_above('corrected_reflectivity_horizontal', 100)
gatefilter_sw =
= pyart.filters.GateFilter(radar_sw)
gatefilter_sw.exclude_above('corrected_reflectivity_horizontal', 100)
grid =
= pyart.map.grid_from_radars(
(radar_se, radar_sw),
radar_sw), gatefilters=(gatefilter_se,
gatefilters=(gatefilter_se, gatefilter_sw),
grid_shape=(1, 201,
201, 201),
grid_limits=((1000, 1000),
1000), (-50000,
(-50000, 40000),
40000), (-60000,
(-60000, 40000)),
grid_origin =
= (36.57861,
(36.57861, -97.363611),
fig =
= plt.figure()
ax =
= fig.add_subplot(111)
origin='lower', extent=(-60,
extent=(-60, 40,
40, -50,
-50, 40),
40), vmin=0,
vmin=0, vmax=48)
Reading files
files using
using Radx
Radx to
to first
first convert
convert the
the file
file to
to Cf.Radial
Cf.Radial format
.. autosummary::
:toctree: generated/
import os
import tempfile
import subprocess
from ..io.cfradial
..io.cfradial import
import read_cfradial
from ..io.common
..io.common import
import _test_arguments
def read_radx(filename,
read_radx(filename, **kwargs):
Read a
a file
file by
by first
first converting
converting it
it to
to Cf/Radial
Cf/Radial using
using RadxConvert.
filename :
: str
Name of
of file
file to
to read
read using
using RadxConvert.
radar :
: Radar
Radar object.
tmpfile =
= tempfile.mkstemp(suffix='.nc',
tempfile.mkstemp(suffix='.nc', dir='.')[1]
head, tail
tail =
= os.path.split(tmpfile)
['RadxConvert', '-const_ngates',
'-outdir', head,
head, '-outname',
'-outname', tail,
tail, '-f',
'-f', filename])
if not
not os.path.isfile(tmpfile):
raise IOError(
'RadxConvert failed
failed to
to create
create a
a file,
file, upgrading
upgrading to
to the
the '
' latest
latest version
version of
of Radx
Radx may
may be
be necessary.')
radar =
= read_cfradial(tmpfile)
return radar
Custom Py-ART
Py-ART exceptions.
.. autosummary::
:toctree: generated/
import warnings
class MissingOptionalDependency(Exception):
""" Exception
Exception raised
raised when
when a
a optional
optional dependency
dependency is
is needed
needed by
by not
not found.
found. """
class DeprecatedAttribute(DeprecationWarning):
""" Warning
Warning category
category for
for an
an attribute
attribute which
which has
has been
been renamed/moved.
renamed/moved. """
class DeprecatedFunctionName(DeprecationWarning):
""" Warning
Warning category
category for
for a
a function
function which
which has
has been
been renamed/moved.
renamed/moved. """
def _deprecated_alias(func,
_deprecated_alias(func, old_name,
old_name, new_name):
A function
function for
for creating
creating an
an alias
alias to
to a
a renamed
renamed or
or moved
moved function.
func :
: func
The function
function which
which has
has been
been renamed
renamed or
or moved.
old_name, new_name
new_name :
: str
Name of
of the
the function
function before
before and
and after
after it
it was
was moved
moved or
or renamed
(with namespace
namespace if
if changed).
wrapper :
: func
A wrapper
wrapper version
version of
of func,
func, which
which issues
issues a
a DeprecatedFunctionName
warning when
when the
the called.
def wrapper(*args,
wrapper(*args, **kwargs):
("{0} has
has been
been deprecated
deprecated and
and will
will be
be removed
removed in
in future
future "
" +
"versions of
of Py-ART,
Py-ART, pleases
pleases use
use {1}.
{1}. ").format(
old_name, new_name),
new_name), category=DeprecatedFunctionName)
return func(*args,
func(*args, **kwargs)
return wrapper
Functions for
for reading
reading NEXRAD
NEXRAD Level
Level II
II Archive
Archive files.
.. autosummary::
:toctree: generated/
:template: dev_template.rst
.. autosummary::
:toctree: generated/
import warnings
import numpy
numpy as
as np
from ..config
..config import
import FileMetadata,
FileMetadata, get_fillvalue
from ..core.radar
..core.radar import
import Radar
from .common
.common import
import make_time_unit_str,
make_time_unit_str, _test_arguments,
_test_arguments, prepare_for_read
from .nexrad_level2
.nexrad_level2 import
import NEXRADLevel2File
from ..lazydict
..lazydict import
import LazyLoadDict
from .nexrad_common
.nexrad_common import
import get_nexrad_location
def read_nexrad_archive(filename,
read_nexrad_archive(filename, field_names=None,
field_names=None, additional_metadata=None,
file_field_names=False, exclude_fields=None,
delay_field_loading=False, station=None,
station=None, scans=None,
linear_interp=True, **kwargs):
Read a
a NEXRAD
NEXRAD Level
Level 2
2 Archive
Archive file.
filename :
: str
Filename of
of NEXRAD
NEXRAD Level
Level 2
2 Archive
Archive file.
file. The
The files
files hosted
hosted by
at the
the NOAA
NOAA National
National Climate
Climate Data
Data Center
Center [1]_
[1]_ as
as well
well as
as on
on the
UCAR THREDDS
THREDDS Data
Data Server
Server [2]_
[2]_ have
have been
been tested.
tested. Other
Other NEXRAD
Level 2
2 Archive
Archive files
files may
may or
or may
may not
not work.
work. Message
Message type
type 1
1 file
and message
message type
type 31
31 files
files are
are supported.
field_names :
: dict,
dict, optional
Dictionary mapping
mapping NEXRAD
NEXRAD moments
moments to
to radar
radar field
field names.
names. If
If a
data type
type found
found in
in the
the file
file does
does not
not appear
appear in
in this
this dictionary
dictionary or
or has
a value
value of
of None
None it
it will
will not
not be
be placed
placed in
in the
the radar.fields
radar.fields dictionary.
A value
value of
of None,
None, the
the default,
default, will
will use
use the
the mapping
mapping defined
defined in
in the
metadata configuration
configuration file.
additional_metadata :
: dict
dict of
of dicts,
dicts, optional
Dictionary of
of dictionaries
dictionaries to
to retrieve
retrieve metadata
metadata from
from during
during this
this read.
This metadata
metadata is
is not
not used
used during
during any
any successive
successive file
file reads
reads unless
explicitly included.
included. A
A value
value of
of None,
None, the
the default,
default, will
will not
introduct any
any addition
addition metadata
metadata and
and the
the file
file specific
specific or
or default
metadata as
as specified
specified by
by the
the metadata
metadata configuration
configuration file
file will
will be
be used.
file_field_names :
: bool,
bool, optional
True to
to use
use the
the NEXRAD
NEXRAD field
field names
names for
for the
the field
field names.
names. If
If this
case the
the field_names
field_names parameter
parameter is
is ignored.
ignored. The
The field
field dictionary
dictionary will
likely only
only have
have a
a 'data'
'data' key,
key, unless
unless the
the fields
fields are
are defined
defined in
exclude_fields :
: list
list or
or None,
None, optional
List of
of fields
fields to
to exclude
exclude from
from the
the radar
radar object.
object. This
This is
is applied
after the
the `file_field_names`
`file_field_names` and
and `field_names`
`field_names` parameters.
delay_field_loading :
: bool,
bool, optional
True to
to delay
delay loading
loading of
of field
field data
data from
from the
the file
file until
until the
the 'data'
key in
in a
a particular
particular field
field dictionary
dictionary is
is accessed.
accessed. In
In this
this case
the field
field attribute
attribute of
of the
the returned
returned Radar
Radar object
object will
will contain
LazyLoadDict objects
objects not
not dict
dict objects.
station :
: str
str or
or None,
None, optional
Four letter
letter ICAO
ICAO name
name of
of the
the NEXRAD
NEXRAD station
station used
used to
to determine
determine the
location in
in the
the returned
returned radar
radar object.
object. This
This parameter
parameter is
is only
used when
when the
the location
location is
is not
not contained
contained in
in the
the file,
file, which
which occur
in older
older NEXRAD
NEXRAD message
message 1
1 files.
scans :
: list
list or
or None,
None, optional
Read only
only specified
specified scans
scans from
from the
the file.
file. None
None (the
(the default)
default) will
will read
all scans.
linear_interp :
: bool,
bool, optional
True (the
(the default)
default) to
to perform
perform linear
linear interpolation
interpolation between
between valid
valid pairs
of gates
gates in
in low
low resolution
resolution rays
rays in
in files
files mixed
mixed resolution
resolution rays.
False will
will perform
perform a
a nearest
nearest neighbor
neighbor interpolation.
interpolation. This
This parameter
parameter is
not used
used if
if the
the resolution
resolution of
of all
all rays
rays in
in the
the file
file or
or requested
requested sweeps
is constant.
radar :
: Radar
Radar object
object containing
containing all
all moments
moments and
and sweeps/cuts
sweeps/cuts in
in the
the volume.
Gates not
not collected
collected are
are masked
masked in
in the
the field
field data.
.. [1]
[1] http://www.ncdc.noaa.gov/
.. [2]
[2] http://thredds.ucar.edu/thredds/catalog.html
filemetadata =
= FileMetadata('nexrad_archive',
FileMetadata('nexrad_archive', field_names,
additional_metadata, file_field_names,
nfile =
= NEXRADLevel2File(prepare_for_read(filename))
scan_info =
= nfile.scan_info(scans)
time =
= filemetadata('time')
time_start, _time
_time =
= nfile.get_times(scans)
time['data'] =
= _time
time['units'] =
= make_time_unit_str(time_start)
_range =
= filemetadata('range')
first_gate, gate_spacing,
gate_spacing, last_gate
last_gate =
= _find_range_params(
scan_info, filemetadata)
_range['data'] =
= np.arange(first_gate,
np.arange(first_gate, last_gate,
last_gate, gate_spacing,
gate_spacing, 'float32')
_range['meters_to_center_of_first_gate'] =
= float(first_gate)
_range['meters_between_gates'] =
= float(gate_spacing)
metadata =
= filemetadata('metadata')
metadata['original_container'] =
= 'NEXRAD
'NEXRAD Level
Level II'
scan_type =
= 'ppi'
latitude =
= filemetadata('latitude')
longitude =
= filemetadata('longitude')
altitude =
= filemetadata('altitude')
if nfile._msg_type
nfile._msg_type ==
== '1'
'1' and
and station
station is
is not
not None:
lat, lon,
lon, alt
alt =
= get_nexrad_location(station)
lat, lon,
lon, alt
alt =
= nfile.location()
latitude['data'] =
= np.array([lat],
np.array([lat], dtype='float64')
longitude['data'] =
= np.array([lon],
np.array([lon], dtype='float64')
altitude['data'] =
= np.array([alt],
np.array([alt], dtype='float64')
sweep_number =
= filemetadata('sweep_number')
sweep_mode =
= filemetadata('sweep_mode')
sweep_start_ray_index =
= filemetadata('sweep_start_ray_index')
sweep_end_ray_index =
= filemetadata('sweep_end_ray_index')
if scans
scans is
is None:
nsweeps =
= int(nfile.nscans)
nsweeps =
= len(scans)
sweep_number['data'] =
= np.arange(nsweeps,
np.arange(nsweeps, dtype='int32')
sweep_mode['data'] =
= np.array(
nsweeps *
* ['azimuth_surveillance'],
['azimuth_surveillance'], dtype='S')
rays_per_scan =
= [s['nrays']
[s['nrays'] for
for s
s in
in scan_info]
sweep_end_ray_index['data'] =
= np.cumsum(rays_per_scan,
np.cumsum(rays_per_scan, dtype='int32')
dtype='int32') -
- 1
rays_per_scan.insert(0, 0)
sweep_start_ray_index['data'] =
= np.cumsum(
rays_per_scan[:-1], dtype='int32')
azimuth =
= filemetadata('azimuth')
elevation =
= filemetadata('elevation')
fixed_angle =
= filemetadata('fixed_angle')
azimuth['data'] =
= nfile.get_azimuth_angles(scans)
elevation['data'] =
= nfile.get_elevation_angles(scans).astype('float32')
fixed_angle['data'] =
= nfile.get_target_angles(scans)
max_ngates =
= len(_range['data'])
available_moments =
= set([m
set([m for
for scan
scan in
in scan_info
scan_info for
for m
m in
in scan['moments']])
interpolate =
= _find_scans_to_interp(
scan_info, first_gate,
first_gate, gate_spacing,
gate_spacing, filemetadata)
fields =
= {}
for moment
moment in
in available_moments:
field_name =
= filemetadata.get_field_name(moment)
if field_name
field_name is
is None:
dic =
= filemetadata(field_name)
dic['_FillValue'] =
= get_fillvalue()
if delay_field_loading
delay_field_loading and
and moment
moment not
not in
in interpolate:
dic =
= LazyLoadDict(dic)
data_call =
= _NEXRADLevel2StagedField(
nfile, moment,
moment, max_ngates,
max_ngates, scans)
dic.set_lazy('data', data_call)
mdata =
= nfile.get_data(moment,
nfile.get_data(moment, max_ngates,
max_ngates, scans=scans)
if moment
moment in
in interpolate:
interp_scans =
= interpolate[moment]
"Gate spacing
spacing is
is not
not constant,
constant, interpolating
interpolating data
data in
in "
" +
"scans %s
%s for
for moment
moment %s."
%s." %
% (interp_scans,
(interp_scans, moment),
for scan
scan in
in interp_scans:
idx =
= scan_info[scan]['moments'].index(moment)
moment_ngates =
= scan_info[scan]['ngates'][idx]
start =
= sweep_start_ray_index['data'][scan]
end =
= sweep_end_ray_index['data'][scan]
_interpolate_scan(mdata, start,
start, end,
end, moment_ngates,
dic['data'] =
= mdata
fields[field_name] =
= dic
nyquist_velocity =
= filemetadata('nyquist_velocity')
unambiguous_range =
= filemetadata('unambiguous_range')
nyquist_velocity['data'] =
= nfile.get_nyquist_vel(scans).astype('float32')
unambiguous_range['data'] =
= (
instrument_parameters =
= {'unambiguous_range':
{'unambiguous_range': unambiguous_range,
'nyquist_velocity': nyquist_velocity,
nyquist_velocity, }
return Radar(
time, _range,
_range, fields,
fields, metadata,
metadata, scan_type,
latitude, longitude,
longitude, altitude,
sweep_number, sweep_mode,
sweep_mode, fixed_angle,
fixed_angle, sweep_start_ray_index,
azimuth, elevation,
def _find_range_params(scan_info,
_find_range_params(scan_info, filemetadata):
""" Return
Return range
range parameters,
parameters, first_gate,
first_gate, gate_spacing,
gate_spacing, last_gate.
last_gate. """
min_first_gate =
= 999999
min_gate_spacing =
= 999999
max_last_gate =
= 0
for scan_params
scan_params in
in scan_info:
ngates =
= scan_params['ngates'][0]
for i,
i, moment
moment in
in enumerate(scan_params['moments']):
if filemetadata.get_field_name(moment)
filemetadata.get_field_name(moment) is
is None:
first_gate =
= scan_params['first_gate'][i]
gate_spacing =
= scan_params['gate_spacing'][i]
last_gate =
= first_gate
first_gate +
+ gate_spacing
gate_spacing *
* (ngates
(ngates -
- 0.5)
min_first_gate =
= min(min_first_gate,
min(min_first_gate, first_gate)
min_gate_spacing =
= min(min_gate_spacing,
min(min_gate_spacing, gate_spacing)
max_last_gate =
= max(max_last_gate,
max(max_last_gate, last_gate)
return min_first_gate,
min_first_gate, min_gate_spacing,
min_gate_spacing, max_last_gate
def _find_scans_to_interp(scan_info,
_find_scans_to_interp(scan_info, first_gate,
first_gate, gate_spacing,
gate_spacing, filemetadata):
""" Return
Return a
a dict
dict indicating
indicating what
what moments/scans
moments/scans need
need interpolation.
interpolation. """
moments =
= set([m
set([m for
for scan
scan in
in scan_info
scan_info for
for m
m in
in scan['moments']])
interpolate =
= dict([(moment,
dict([(moment, [])
[]) for
for moment
moment in
in moments])
for scan_num,
scan_num, scan
scan in
in enumerate(scan_info):
for moment
moment in
in moments:
if moment
moment not
not in
in scan['moments']:
if filemetadata.get_field_name(moment)
filemetadata.get_field_name(moment) is
is None:
index =
= scan['moments'].index(moment)
first =
= scan['first_gate'][index]
spacing =
= scan['gate_spacing'][index]
if first
first !=
!= first_gate
first_gate or
or spacing
spacing !=
!= gate_spacing:
assert spacing
spacing ==
== gate_spacing
gate_spacing *
* 4
assert first_gate
first_gate +
+ 1.5
1.5 *
* gate_spacing
gate_spacing ==
== first
interpolate =
= dict([(k,
dict([(k, v)
v) for
for k,
k, v
v in
in interpolate.items()
interpolate.items() if
if len(v)
len(v) !=
!= 0])
return interpolate
def _interpolate_scan(mdata,
_interpolate_scan(mdata, start,
start, end,
end, moment_ngates,
moment_ngates, linear_interp=True):
""" Interpolate
Interpolate a
a single
single NEXRAD
NEXRAD moment
moment scan
scan from
from 1000
1000 m
m to
to 250
250 m.
m. """
for ray_num
ray_num in
in range(start,
range(start, end+1):
ray =
= mdata[ray_num].copy()
interp_ngates =
= 4
4 *
* moment_ngates
ray[:interp_ngates] =
= np.repeat(ray[:moment_ngates],
np.repeat(ray[:moment_ngates], 4)
if linear_interp:
for i
i in
in range(2,
range(2, interp_ngates
interp_ngates -
- 4,
4, 4):
gate_val =
= ray[i]
next_val =
= ray[i+4]
if np.ma.is_masked(gate_val)
np.ma.is_masked(gate_val) or
or np.ma.is_masked(next_val):
delta =
= (next_val
(next_val -
- gate_val)
gate_val) /
/ 4.
ray[i+0] =
= gate_val
gate_val +
+ delta
delta *
* 0.5
ray[i+1] =
= gate_val
gate_val +
+ delta
delta *
* 1.5
ray[i+2] =
= gate_val
gate_val +
+ delta
delta *
* 2.5
ray[i+3] =
= gate_val
gate_val +
+ delta
delta *
* 3.5
mdata[ray_num] =
= ray[:]
class _NEXRADLevel2StagedField(object):
A class
class to
to facilitate
facilitate on
on demand
demand loading
loading of
of field
field data
data from
from a
a Level
Level 2
2 file.
def __init__(self,
__init__(self, nfile,
nfile, moment,
moment, max_ngates,
max_ngates, scans):
""" initialize.
initialize. """
self.nfile =
= nfile
self.moment =
= moment
self.max_ngates =
= max_ngates
self.scans =
= scans
def __call__(self):
""" Return
Return the
the array
array containing
containing the
the field
field data.
data. """
return self.nfile.get_data(
self.moment, self.max_ngates,
self.max_ngates, scans=self.scans)
Reading of
of Universal
Universal format
format (UF)
(UF) files
.. autosummary::
:toctree: generated/
import warnings
import numpy
numpy as
as np
from netCDF4
netCDF4 import
import date2num
from ..config
..config import
import FileMetadata,
FileMetadata, get_fillvalue
from ..core.radar
..core.radar import
import Radar
from .common
.common import
import make_time_unit_str,
make_time_unit_str, _test_arguments,
_test_arguments, prepare_for_read
from .uffile
.uffile import
import UFFile
_LIGHT_SPEED =
= 2.99792458e8
2.99792458e8 #
# speed
speed of
of light
light in
in meters
meters per
per second
_UF_SWEEP_MODES =
= {
0: 'calibration',
1: 'ppi',
2: 'coplane',
3: 'rhi',
4: 'vpt',
5: 'target',
6: 'manual',
7: 'idle',
_SWEEP_MODE_STR =
= {
'calibration': 'calibration',
'ppi': 'azimuth_surveillance',
'coplane': 'coplane',
'rhi': 'rhi',
'vpt': 'vertical_pointing',
'target': 'pointing',
'manual': 'manual',
'idle': 'idle',
def read_uf(filename,
read_uf(filename, field_names=None,
field_names=None, additional_metadata=None,
file_field_names=False, exclude_fields=None,
delay_field_loading=False, **kwargs):
Read a
a UF
UF File.
filename :
: str
str or
or file-like
Name of
of Universal
Universal format
format file
file to
to read
read data
data from.
field_names :
: dict,
dict, optional
Dictionary mapping
mapping UF
UF data
data type
type names
names to
to radar
radar field
field names.
names. If
If a
data type
type found
found in
in the
the file
file does
does not
not appear
appear in
in this
this dictionary
dictionary or
or has
a value
value of
of None
None it
it will
will not
not be
be placed
placed in
in the
the radar.fields
radar.fields dictionary.
A value
value of
of None,
None, the
the default,
default, will
will use
use the
the mapping
mapping defined
defined in
in the
Py-ART configuration
configuration file.
additional_metadata :
: dict
dict of
of dicts,
dicts, optional
Dictionary of
of dictionaries
dictionaries to
to retrieve
retrieve metadata
metadata from
from during
during this
this read.
This metadata
metadata is
is not
not used
used during
during any
any successive
successive file
file reads
reads unless
explicitly included.
included. A
A value
value of
of None,
None, the
the default,
default, will
will not
introduce any
any addition
addition metadata
metadata and
and the
the file
file specific
specific or
or default
metadata as
as specified
specified by
by the
the Py-ART
Py-ART configuration
configuration file
file will
will be
be used.
file_field_names :
: bool,
bool, optional
True to
to force
force the
the use
use of
of the
the field
field names
names from
from the
the file
file in
in which
case the
the `field_names`
`field_names` parameter
parameter is
is ignored.
ignored. False
False will
will use
use to
`field_names` parameter
parameter to
to rename
rename fields.
exclude_fields :
: list
list or
or None,
None, optional
List of
of fields
fields to
to exclude
exclude from
from the
the radar
radar object.
object. This
This is
is applied
after the
the `file_field_names`
`file_field_names` and
and `field_names`
`field_names` parameters.
delay_field_loading :
: bool
This option
option is
is not
not implemented
implemented in
in the
the function
function but
but included
included for
radar :
